LGA,Field_Of_Study,Count,X,Y
Kingston (Vic.),Mixed Field Programmes,12,331771.56,5791733.148
Kingston (Vic.),Natural and Physical Sciences,726,331771.56,5791733.148
Kingston (Vic.),Not applicable,10164,331771.56,5791733.148
Kingston (Vic.),Society and Culture,1937,331771.56,5791733.148
Knox,"Agriculture, Environmental and Related Studies",182,345153.003,5805528.173
Knox,Architecture and Building,471,345153.003,5805528.173
Knox,Creative Arts,685,345153.003,5805528.173
Knox,Education,789,345153.003,5805528.173
Knox,Engineering and Related Technologies,953,345153.003,5805528.173
Knox,Field of study inadequately described,160,345153.003,5805528.173
Knox,Field of study not stated,176,345153.003,5805528.173
Knox,"Food, Hospitality and Personal Services",605,345153.003,5805528.173
Knox,Health,1637,345153.003,5805528.173
Knox,Information Technology,552,345153.003,5805528.173
Knox,Management and Commerce,2045,345153.003,5805528.173
Knox,Mixed Field Programmes,5,345153.003,5805528.173
Knox,Natural and Physical Sciences,714,345153.003,5805528.173
Knox,Not applicable,11017,345153.003,5805528.173
Knox,Society and Culture,1896,345153.003,5805528.173
Latrobe (Vic.),"Agriculture, Environmental and Related Studies",60,446992.333,5752176.981
Latrobe (Vic.),Architecture and Building,121,446992.333,5752176.981
Latrobe (Vic.),Creative Arts,123,446992.333,5752176.981
Latrobe (Vic.),Education,342,446992.333,5752176.981
Latrobe (Vic.),Engineering and Related Technologies,324,446992.333,5752176.981
Latrobe (Vic.),Field of study inadequately described,48,446992.333,5752176.981
Latrobe (Vic.),Field of study not stated,130,446992.333,5752176.981
Latrobe (Vic.),"Food, Hospitality and Personal Services",261,446992.333,5752176.981
Latrobe (Vic.),Health,724,446992.333,5752176.981
Latrobe (Vic.),Information Technology,72,446992.333,5752176.981
Latrobe (Vic.),Management and Commerce,660,446992.333,5752176.981
Latrobe (Vic.),Mixed Field Programmes,3,446992.333,5752176.981
Latrobe (Vic.),Natural and Physical Sciences,163,446992.333,5752176.981
Latrobe (Vic.),Not applicable,2958,446992.333,5752176.981
Latrobe (Vic.),Society and Culture,935,446992.333,5752176.981
Loddon,"Agriculture, Environmental and Related Studies",8,226984.508,5993646.483
Loddon,Creative Arts,3,226984.508,5993646.483
Loddon,Education,18,226984.508,5993646.483
Loddon,Engineering and Related Technologies,12,226984.508,5993646.483
Loddon,Field of study not stated,6,226984.508,5993646.483
Loddon,"Food, Hospitality and Personal Services",17,226984.508,5993646.483
Loddon,Health,41,226984.508,5993646.483
Loddon,Information Technology,5,226984.508,5993646.483
Loddon,Management and Commerce,20,226984.508,5993646.483
Loddon,Natural and Physical Sciences,13,226984.508,5993646.483
Loddon,Not applicable,186,226984.508,5993646.483
Loddon,Society and Culture,32,226984.508,5993646.483
Macedon Ranges,"Agriculture, Environmental and Related Studies",60,282236.599,5866278.476
Macedon Ranges,Architecture and Building,101,282236.599,5866278.476
Macedon Ranges,Creative Arts,203,282236.599,5866278.476
Macedon Ranges,Education,285,282236.599,5866278.476
Macedon Ranges,Engineering and Related Technologies,171,282236.599,5866278.476
Macedon Ranges,Field of study inadequately described,35,282236.599,5866278.476
Macedon Ranges,Field of study not stated,51,282236.599,5866278.476
Macedon Ranges,"Food, Hospitality and Personal Services",105,282236.599,5866278.476
Macedon Ranges,Health,415,282236.599,5866278.476
Macedon Ranges,Information Technology,20,282236.599,5866278.476
Macedon Ranges,Management and Commerce,518,282236.599,5866278.476
Macedon Ranges,Natural and Physical Sciences,120,282236.599,5866278.476
Macedon Ranges,Not applicable,2382,282236.599,5866278.476
Macedon Ranges,Society and Culture,503,282236.599,5866278.476
Manningham,"Agriculture, Environmental and Related Studies",83,337438.374,5819086.712
Manningham,Architecture and Building,341,337438.374,5819086.712
Manningham,Creative Arts,592,337438.374,5819086.712
Manningham,Education,510,337438.374,5819086.712
Manningham,Engineering and Related Technologies,753,337438.374,5819086.712
Manningham,Field of study inadequately described,171,337438.374,5819086.712
Manningham,Field of study not stated,177,337438.374,5819086.712
Manningham,"Food, Hospitality and Personal Services",364,337438.374,5819086.712
Manningham,Health,1268,337438.374,5819086.712
Manningham,Information Technology,540,337438.374,5819086.712
Manningham,Management and Commerce,2200,337438.374,5819086.712
Manningham,Mixed Field Programmes,39,337438.374,5819086.712
Manningham,Natural and Physical Sciences,834,337438.374,5819086.712
Manningham,Not applicable,9702,337438.374,5819086.712
Manningham,Society and Culture,1360,337438.374,5819086.712
Mansfield,"Agriculture, Environmental and Related Studies",32,448494.004,5899987.492
Mansfield,Architecture and Building,15,448494.004,5899987.492
Mansfield,Creative Arts,9,448494.004,5899987.492
Mansfield,Education,49,448494.004,5899987.492
Mansfield,Engineering and Related Technologies,18,448494.004,5899987.492
Mansfield,Field of study inadequately described,6,448494.004,5899987.492
Mansfield,"Food, Hospitality and Personal Services",15,448494.004,5899987.492
Mansfield,Health,21,448494.004,5899987.492
Mansfield,Information Technology,4,448494.004,5899987.492
Mansfield,Management and Commerce,49,448494.004,5899987.492
Mansfield,Natural and Physical Sciences,12,448494.004,5899987.492
Mansfield,Not applicable,239,448494.004,5899987.492
Mansfield,Society and Culture,70,448494.004,5899987.492
Maribyrnong,"Agriculture, Environmental and Related Studies",89,312460.061,5813941.639
Maribyrnong,Architecture and Building,331,312460.061,5813941.639
Maribyrnong,Creative Arts,1137,312460.061,5813941.639
Maribyrnong,Education,629,312460.061,5813941.639
Maribyrnong,Engineering and Related Technologies,915,312460.061,5813941.639
Maribyrnong,Field of study inadequately described,261,312460.061,5813941.639
Maribyrnong,Field of study not stated,237,312460.061,5813941.639
Maribyrnong,"Food, Hospitality and Personal Services",554,312460.061,5813941.639
Maribyrnong,Health,1187,312460.061,5813941.639
Maribyrnong,Information Technology,588,312460.061,5813941.639
Maribyrnong,Management and Commerce,2082,312460.061,5813941.639
Maribyrnong,Mixed Field Programmes,20,312460.061,5813941.639
Maribyrnong,Natural and Physical Sciences,686,312460.061,5813941.639
Maribyrnong,Not applicable,6203,312460.061,5813941.639
Maribyrnong,Society and Culture,1810,312460.061,5813941.639
Maroondah,"Agriculture, Environmental and Related Studies",163,347310.92,5812792.886
Maroondah,Architecture and Building,367,347310.92,5812792.886
Maroondah,Creative Arts,624,347310.92,5812792.886
Maroondah,Education,689,347310.92,5812792.886
Maroondah,Engineering and Related Technologies,656,347310.92,5812792.886
Maroondah,Field of study inadequately described,174,347310.92,5812792.886
Maroondah,Field of study not stated,93,347310.92,5812792.886
Maroondah,"Food, Hospitality and Personal Services",335,347310.92,5812792.886
Maroondah,Health,1193,347310.92,5812792.886
Maroondah,Information Technology,364,347310.92,5812792.886
Maroondah,Management and Commerce,1489,347310.92,5812792.886
Maroondah,Natural and Physical Sciences,389,347310.92,5812792.886
Maroondah,Not applicable,7016,347310.92,5812792.886
Maroondah,Society and Culture,1529,347310.92,5812792.886
Melbourne,"Agriculture, Environmental and Related Studies",429,320130.654,5811737.069
Melbourne,Architecture and Building,1860,320130.654,5811737.069
Melbourne,Creative Arts,4230,320130.654,5811737.069
Melbourne,Education,1379,320130.654,5811737.069
Melbourne,Engineering and Related Technologies,4382,320130.654,5811737.069
Melbourne,Field of study inadequately described,1067,320130.654,5811737.069
Melbourne,Field of study not stated,834,320130.654,5811737.069
Melbourne,"Food, Hospitality and Personal Services",2088,320130.654,5811737.069
Melbourne,Health,3314,320130.654,5811737.069
Melbourne,Information Technology,2713,320130.654,5811737.069
Melbourne,Management and Commerce,10285,320130.654,5811737.069
Melbourne,Mixed Field Programmes,254,320130.654,5811737.069
Melbourne,Natural and Physical Sciences,4849,320130.654,5811737.069
Melbourne,Not applicable,25578,320130.654,5811737.069
Melbourne,Society and Culture,5956,320130.654,5811737.069
Melton,"Agriculture, Environmental and Related Studies",83,290314.055,5830193.692
Melton,Architecture and Building,512,290314.055,5830193.692
Melton,Creative Arts,458,290314.055,5830193.692
Melton,Education,1082,290314.055,5830193.692
Melton,Engineering and Related Technologies,1040,290314.055,5830193.692
Melton,Field of study inadequately described,158,290314.055,5830193.692
Melton,Field of study not stated,268,290314.055,5830193.692
Melton,"Food, Hospitality and Personal Services",739,290314.055,5830193.692
Melton,Health,1571,290314.055,5830193.692
Melton,Information Technology,593,290314.055,5830193.692
Melton,Management and Commerce,2204,290314.055,5830193.692
Melton,Mixed Field Programmes,33,290314.055,5830193.692
Melton,Natural and Physical Sciences,621,290314.055,5830193.692
Melton,Not applicable,10410,290314.055,5830193.692
Melton,Society and Culture,1982,290314.055,5830193.692
Mildura,"Agriculture, Environmental and Related Studies",76,71537.688,6172091.46
Mildura,Architecture and Building,82,71537.688,6172091.46
Mildura,Creative Arts,75,71537.688,6172091.46
Mildura,Education,254,71537.688,6172091.46
Mildura,Engineering and Related Technologies,195,71537.688,6172091.46
Mildura,Field of study inadequately described,52,71537.688,6172091.46
Mildura,Field of study not stated,69,71537.688,6172091.46
Mildura,"Food, Hospitality and Personal Services",224,71537.688,6172091.46
Mildura,Health,391,71537.688,6172091.46
Mildura,Information Technology,21,71537.688,6172091.46
Mildura,Management and Commerce,541,71537.688,6172091.46
Mildura,Mixed Field Programmes,8,71537.688,6172091.46
Mildura,Natural and Physical Sciences,69,71537.688,6172091.46
Mildura,Not applicable,1976,71537.688,6172091.46
Mildura,Society and Culture,549,71537.688,6172091.46
Mitchell,"Agriculture, Environmental and Related Studies",46,302099.083,5904882.934
Mitchell,Architecture and Building,123,302099.083,5904882.934
Mitchell,Creative Arts,123,302099.083,5904882.934
Mitchell,Education,325,302099.083,5904882.934
Mitchell,Engineering and Related Technologies,228,302099.083,5904882.934
Mitchell,Field of study inadequately described,48,302099.083,5904882.934
Mitchell,Field of study not stated,74,302099.083,5904882.934
Mitchell,"Food, Hospitality and Personal Services",208,302099.083,5904882.934
Mitchell,Health,456,302099.083,5904882.934
Mitchell,Information Technology,66,302099.083,5904882.934
Mitchell,Management and Commerce,461,302099.083,5904882.934
Mitchell,Natural and Physical Sciences,91,302099.083,5904882.934
Mitchell,Not applicable,2078,302099.083,5904882.934
Mitchell,Society and Culture,535,302099.083,5904882.934
Moira,"Agriculture, Environmental and Related Studies",44,375562.141,6007927.382
Moira,Architecture and Building,23,375562.141,6007927.382
Moira,Creative Arts,18,375562.141,6007927.382
Moira,Education,128,375562.141,6007927.382
Moira,Engineering and Related Technologies,120,375562.141,6007927.382
Moira,Field of study inadequately described,15,375562.141,6007927.382
Moira,Field of study not stated,25,375562.141,6007927.382
Moira,"Food, Hospitality and Personal Services",73,375562.141,6007927.382
Moira,Health,215,375562.141,6007927.382
Moira,Information Technology,20,375562.141,6007927.382
Moira,Management and Commerce,158,375562.141,6007927.382
Moira,Mixed Field Programmes,7,375562.141,6007927.382
Moira,Natural and Physical Sciences,13,375562.141,6007927.382
Moira,Not applicable,898,375562.141,6007927.382
Moira,Society and Culture,216,375562.141,6007927.382
Monash,"Agriculture, Environmental and Related Studies",195,336815.413,5806792.166
Monash,Architecture and Building,653,336815.413,5806792.166
Monash,Creative Arts,1144,336815.413,5806792.166
Monash,Education,1165,336815.413,5806792.166
Monash,Engineering and Related Technologies,2997,336815.413,5806792.166
Monash,Field of study inadequately described,461,336815.413,5806792.166
Monash,Field of study not stated,530,336815.413,5806792.166
Monash,"Food, Hospitality and Personal Services",938,336815.413,5806792.166
Monash,Health,2275,336815.413,5806792.166
Monash,Information Technology,2110,336815.413,5806792.166
Monash,Management and Commerce,5237,336815.413,5806792.166
Monash,Mixed Field Programmes,63,336815.413,5806792.166
Monash,Natural and Physical Sciences,2350,336815.413,5806792.166
Monash,Not applicable,20636,336815.413,5806792.166
Monash,Society and Culture,2855,336815.413,5806792.166
Moonee Valley,"Agriculture, Environmental and Related Studies",126,316325.274,5821179.668
Moonee Valley,Architecture and Building,417,316325.274,5821179.668
Moonee Valley,Creative Arts,988,316325.274,5821179.668
Moonee Valley,Education,669,316325.274,5821179.668
Moonee Valley,Engineering and Related Technologies,842,316325.274,5821179.668
Moonee Valley,Field of study inadequately described,246,316325.274,5821179.668
Moonee Valley,Field of study not stated,173,316325.274,5821179.668
Moonee Valley,"Food, Hospitality and Personal Services",445,316325.274,5821179.668
Moonee Valley,Health,1465,316325.274,5821179.668
Moonee Valley,Information Technology,399,316325.274,5821179.668
Moonee Valley,Management and Commerce,1977,316325.274,5821179.668
Moonee Valley,Mixed Field Programmes,26,316325.274,5821179.668
Moonee Valley,Natural and Physical Sciences,785,316325.274,5821179.668
Moonee Valley,Not applicable,8896,316325.274,5821179.668
Moonee Valley,Society and Culture,2042,316325.274,5821179.668
Moorabool,"Agriculture, Environmental and Related Studies",39,259736.316,5832565.271
Moorabool,Architecture and Building,91,259736.316,5832565.271
Moorabool,Creative Arts,119,259736.316,5832565.271
Moorabool,Education,218,259736.316,5832565.271
Moorabool,Engineering and Related Technologies,138,259736.316,5832565.271
Moorabool,Field of study inadequately described,20,259736.316,5832565.271
Moorabool,Field of study not stated,48,259736.316,5832565.271
Moorabool,"Food, Hospitality and Personal Services",135,259736.316,5832565.271
Moorabool,Health,282,259736.316,5832565.271
Moorabool,Information Technology,61,259736.316,5832565.271
Moorabool,Management and Commerce,373,259736.316,5832565.271
Moorabool,Mixed Field Programmes,7,259736.316,5832565.271
Moorabool,Natural and Physical Sciences,77,259736.316,5832565.271
Moorabool,Not applicable,1715,259736.316,5832565.271
Moorabool,Society and Culture,415,259736.316,5832565.271
Moreland,"Agriculture, Environmental and Related Studies",325,320546.433,5817837.008
Moreland,Architecture and Building,736,320546.433,5817837.008
Moreland,Creative Arts,2714,320546.433,5817837.008
Moreland,Education,1197,320546.433,5817837.008
Moreland,Engineering and Related Technologies,1618,320546.433,5817837.008
Moreland,Field of study inadequately described,701,320546.433,5817837.008
Moreland,Field of study not stated,337,320546.433,5817837.008
Moreland,"Food, Hospitality and Personal Services",1079,320546.433,5817837.008
Moreland,Health,2873,320546.433,5817837.008
Moreland,Information Technology,1035,320546.433,5817837.008
Moreland,Management and Commerce,3384,320546.433,5817837.008
Moreland,Mixed Field Programmes,67,320546.433,5817837.008
Moreland,Natural and Physical Sciences,1865,320546.433,5817837.008
Moreland,Not applicable,12836,320546.433,5817837.008
Moreland,Society and Culture,4456,320546.433,5817837.008
Mornington Peninsula,"Agriculture, Environmental and Related Studies",186,319338.432,5740511.202
Mornington Peninsula,Architecture and Building,370,319338.432,5740511.202
Mornington Peninsula,Creative Arts,523,319338.432,5740511.202
Mornington Peninsula,Education,793,319338.432,5740511.202
Mornington Peninsula,Engineering and Related Technologies,566,319338.432,5740511.202
Mornington Peninsula,Field of study inadequately described,157,319338.432,5740511.202
Mornington Peninsula,Field of study not stated,134,319338.432,5740511.202
Mornington Peninsula,"Food, Hospitality and Personal Services",502,319338.432,5740511.202
Mornington Peninsula,Health,1316,319338.432,5740511.202
Mornington Peninsula,Information Technology,129,319338.432,5740511.202
Mornington Peninsula,Management and Commerce,1365,319338.432,5740511.202
Mornington Peninsula,Mixed Field Programmes,5,319338.432,5740511.202
Mornington Peninsula,Natural and Physical Sciences,290,319338.432,5740511.202
Mornington Peninsula,Not applicable,7767,319338.432,5740511.202
Mornington Peninsula,Society and Culture,1481,319338.432,5740511.202
Mount Alexander,"Agriculture, Environmental and Related Studies",37,243240.042,5891752.305
Mount Alexander,Architecture and Building,35,243240.042,5891752.305
Mount Alexander,Creative Arts,166,243240.042,5891752.305
Mount Alexander,Education,106,243240.042,5891752.305
Mount Alexander,Engineering and Related Technologies,66,243240.042,5891752.305
Mount Alexander,Field of study inadequately described,33,243240.042,5891752.305
Mount Alexander,Field of study not stated,4,243240.042,5891752.305
Mount Alexander,"Food, Hospitality and Personal Services",32,243240.042,5891752.305
Mount Alexander,Health,158,243240.042,5891752.305
Mount Alexander,Information Technology,3,243240.042,5891752.305
Mount Alexander,Management and Commerce,99,243240.042,5891752.305
Mount Alexander,Natural and Physical Sciences,25,243240.042,5891752.305
Mount Alexander,Not applicable,548,243240.042,5891752.305
Mount Alexander,Society and Culture,257,243240.042,5891752.305
Moyne,"Agriculture, Environmental and Related Studies",73,70184.638,5763803.718
Moyne,Architecture and Building,42,70184.638,5763803.718
Moyne,Creative Arts,17,70184.638,5763803.718
Moyne,Education,63,70184.638,5763803.718
Moyne,Engineering and Related Technologies,58,70184.638,5763803.718
Moyne,Field of study not stated,32,70184.638,5763803.718
Moyne,"Food, Hospitality and Personal Services",39,70184.638,5763803.718
Moyne,Health,107,70184.638,5763803.718
Moyne,Information Technology,5,70184.638,5763803.718
Moyne,Management and Commerce,97,70184.638,5763803.718
Moyne,Natural and Physical Sciences,15,70184.638,5763803.718
Moyne,Not applicable,548,70184.638,5763803.718
Moyne,Society and Culture,132,70184.638,5763803.718
Murrindindi,"Agriculture, Environmental and Related Studies",8,352972.798,5865886.898
Murrindindi,Architecture and Building,11,352972.798,5865886.898
Murrindindi,Creative Arts,26,352972.798,5865886.898
Murrindindi,Education,87,352972.798,5865886.898
Murrindindi,Engineering and Related Technologies,26,352972.798,5865886.898
Murrindindi,Field of study inadequately described,10,352972.798,5865886.898
Murrindindi,Field of study not stated,11,352972.798,5865886.898
Murrindindi,"Food, Hospitality and Personal Services",54,352972.798,5865886.898
Murrindindi,Health,109,352972.798,5865886.898
Murrindindi,Information Technology,7,352972.798,5865886.898
Murrindindi,Management and Commerce,86,352972.798,5865886.898
Murrindindi,Natural and Physical Sciences,14,352972.798,5865886.898
Murrindindi,Not applicable,449,352972.798,5865886.898
Murrindindi,Society and Culture,119,352972.798,5865886.898
Nillumbik,"Agriculture, Environmental and Related Studies",86,349104.265,5835653.964
Nillumbik,Architecture and Building,201,349104.265,5835653.964
Nillumbik,Creative Arts,399,349104.265,5835653.964
Nillumbik,Education,378,349104.265,5835653.964
Nillumbik,Engineering and Related Technologies,277,349104.265,5835653.964
Nillumbik,Field of study inadequately described,91,349104.265,5835653.964
Nillumbik,Field of study not stated,32,349104.265,5835653.964
Nillumbik,"Food, Hospitality and Personal Services",177,349104.265,5835653.964
Nillumbik,Health,620,349104.265,5835653.964
Nillumbik,Information Technology,74,349104.265,5835653.964
Nillumbik,Management and Commerce,608,349104.265,5835653.964
Nillumbik,Mixed Field Programmes,3,349104.265,5835653.964
Nillumbik,Natural and Physical Sciences,245,349104.265,5835653.964
Nillumbik,Not applicable,4701,349104.265,5835653.964
Nillumbik,Society and Culture,798,349104.265,5835653.964
Northern Grampians,"Agriculture, Environmental and Related Studies",3,147332.67,5911348.89
Northern Grampians,Architecture and Building,9,147332.67,5911348.89
Northern Grampians,Education,36,147332.67,5911348.89
Northern Grampians,Engineering and Related Technologies,29,147332.67,5911348.89
Northern Grampians,Field of study not stated,4,147332.67,5911348.89
Northern Grampians,"Food, Hospitality and Personal Services",20,147332.67,5911348.89
Northern Grampians,Health,38,147332.67,5911348.89
Northern Grampians,Information Technology,10,147332.67,5911348.89
Northern Grampians,Management and Commerce,55,147332.67,5911348.89
Northern Grampians,Natural and Physical Sciences,6,147332.67,5911348.89
Northern Grampians,Not applicable,267,147332.67,5911348.89
Northern Grampians,Society and Culture,100,147332.67,5911348.89
Port Phillip,"Agriculture, Environmental and Related Studies",143,320767.515,5811112.842
Port Phillip,Architecture and Building,440,320767.515,5811112.842
Port Phillip,Creative Arts,1406,320767.515,5811112.842
Port Phillip,Education,649,320767.515,5811112.842
Port Phillip,Engineering and Related Technologies,823,320767.515,5811112.842
Port Phillip,Field of study inadequately described,339,320767.515,5811112.842
Port Phillip,Field of study not stated,199,320767.515,5811112.842
Port Phillip,"Food, Hospitality and Personal Services",513,320767.515,5811112.842
Port Phillip,Health,1469,320767.515,5811112.842
Port Phillip,Information Technology,338,320767.515,5811112.842
Port Phillip,Management and Commerce,2733,320767.515,5811112.842
Port Phillip,Mixed Field Programmes,14,320767.515,5811112.842
Port Phillip,Natural and Physical Sciences,698,320767.515,5811112.842
Port Phillip,Not applicable,6009,320767.515,5811112.842
Port Phillip,Society and Culture,2334,320767.515,5811112.842
Pyrenees,"Agriculture, Environmental and Related Studies",8,180073.983,5899749.127
Pyrenees,Creative Arts,7,180073.983,5899749.127
Pyrenees,Education,23,180073.983,5899749.127
Pyrenees,Engineering and Related Technologies,7,180073.983,5899749.127
Pyrenees,Field of study not stated,14,180073.983,5899749.127
Pyrenees,Health,50,180073.983,5899749.127
Pyrenees,Management and Commerce,34,180073.983,5899749.127
Pyrenees,Natural and Physical Sciences,6,180073.983,5899749.127
Pyrenees,Not applicable,188,180073.983,5899749.127
Pyrenees,Society and Culture,52,180073.983,5899749.127
Queenscliffe,"Agriculture, Environmental and Related Studies",4,291163.062,5759176.736
Queenscliffe,Creative Arts,4,291163.062,5759176.736
Queenscliffe,Education,3,291163.062,5759176.736
Queenscliffe,Field of study inadequately described,3,291163.062,5759176.736
Queenscliffe,Health,20,291163.062,5759176.736
Queenscliffe,Management and Commerce,22,291163.062,5759176.736
Queenscliffe,Natural and Physical Sciences,5,291163.062,5759176.736
Queenscliffe,Not applicable,122,291163.062,5759176.736
Queenscliffe,Society and Culture,21,291163.062,5759176.736
South Gippsland,"Agriculture, Environmental and Related Studies",47,397419.827,5744845.87
South Gippsland,Architecture and Building,45,397419.827,5744845.87
South Gippsland,Creative Arts,50,397419.827,5744845.87
South Gippsland,Education,156,397419.827,5744845.87
South Gippsland,Engineering and Related Technologies,61,397419.827,5744845.87
South Gippsland,Field of study inadequately described,4,397419.827,5744845.87
South Gippsland,Field of study not stated,24,397419.827,5744845.87
South Gippsland,"Food, Hospitality and Personal Services",62,397419.827,5744845.87
South Gippsland,Health,181,397419.827,5744845.87
South Gippsland,Information Technology,5,397419.827,5744845.87
South Gippsland,Management and Commerce,153,397419.827,5744845.87
South Gippsland,Natural and Physical Sciences,18,397419.827,5744845.87
South Gippsland,Not applicable,895,397419.827,5744845.87
South Gippsland,Society and Culture,212,397419.827,5744845.87
Southern Grampians,"Agriculture, Environmental and Related Studies",43,90686.333,5866159.183
Southern Grampians,Architecture and Building,21,90686.333,5866159.183
Southern Grampians,Creative Arts,5,90686.333,5866159.183
Southern Grampians,Education,94,90686.333,5866159.183
Southern Grampians,Engineering and Related Technologies,24,90686.333,5866159.183
Southern Grampians,Field of study inadequately described,11,90686.333,5866159.183
Southern Grampians,Field of study not stated,11,90686.333,5866159.183
Southern Grampians,"Food, Hospitality and Personal Services",43,90686.333,5866159.183
Southern Grampians,Health,117,90686.333,5866159.183
Southern Grampians,Management and Commerce,124,90686.333,5866159.183
Southern Grampians,Natural and Physical Sciences,12,90686.333,5866159.183
Southern Grampians,Not applicable,395,90686.333,5866159.183
Southern Grampians,Society and Culture,97,90686.333,5866159.183
Stonnington,"Agriculture, Environmental and Related Studies",127,323977.3,5809740.466
Stonnington,Architecture and Building,450,323977.3,5809740.466
Stonnington,Creative Arts,1325,323977.3,5809740.466
Stonnington,Education,501,323977.3,5809740.466
Stonnington,Engineering and Related Technologies,755,323977.3,5809740.466
Stonnington,Field of study inadequately described,344,323977.3,5809740.466
Stonnington,Field of study not stated,150,323977.3,5809740.466
Stonnington,"Food, Hospitality and Personal Services",460,323977.3,5809740.466
Stonnington,Health,1663,323977.3,5809740.466
Stonnington,Information Technology,456,323977.3,5809740.466
Stonnington,Management and Commerce,3081,323977.3,5809740.466
Stonnington,Mixed Field Programmes,10,323977.3,5809740.466
Stonnington,Natural and Physical Sciences,1105,323977.3,5809740.466
Stonnington,Not applicable,9357,323977.3,5809740.466
Stonnington,Society and Culture,2312,323977.3,5809740.466
Strathbogie,"Agriculture, Environmental and Related Studies",21,388908.431,5936068.174
Strathbogie,Architecture and Building,4,388908.431,5936068.174
Strathbogie,Creative Arts,3,388908.431,5936068.174
Strathbogie,Education,59,388908.431,5936068.174
Strathbogie,Engineering and Related Technologies,37,388908.431,5936068.174
Strathbogie,Field of study inadequately described,5,388908.431,5936068.174
Strathbogie,Field of study not stated,3,388908.431,5936068.174
Strathbogie,"Food, Hospitality and Personal Services",20,388908.431,5936068.174
Strathbogie,Health,70,388908.431,5936068.174
Strathbogie,Management and Commerce,48,388908.431,5936068.174
Strathbogie,Natural and Physical Sciences,11,388908.431,5936068.174
Strathbogie,Not applicable,230,388908.431,5936068.174
Strathbogie,Society and Culture,48,388908.431,5936068.174
Surf Coast,"Agriculture, Environmental and Related Studies",93,246844.194,5754950.597
Surf Coast,Architecture and Building,159,246844.194,5754950.597
Surf Coast,Creative Arts,169,246844.194,5754950.597
Surf Coast,Education,252,246844.194,5754950.597
Surf Coast,Engineering and Related Technologies,107,246844.194,5754950.597
Surf Coast,Field of study inadequately described,40,246844.194,5754950.597
Surf Coast,Field of study not stated,29,246844.194,5754950.597
Surf Coast,"Food, Hospitality and Personal Services",82,246844.194,5754950.597
Surf Coast,Health,454,246844.194,5754950.597
Surf Coast,Information Technology,13,246844.194,5754950.597
Surf Coast,Management and Commerce,359,246844.194,5754950.597
Surf Coast,Natural and Physical Sciences,179,246844.194,5754950.597
Surf Coast,Not applicable,1757,246844.194,5754950.597
Surf Coast,Society and Culture,396,246844.194,5754950.597
Swan Hill,"Agriculture, Environmental and Related Studies",24,115686.714,6145195.364
Swan Hill,Architecture and Building,15,115686.714,6145195.364
Swan Hill,Creative Arts,5,115686.714,6145195.364
Swan Hill,Education,118,115686.714,6145195.364
Swan Hill,Engineering and Related Technologies,57,115686.714,6145195.364
Swan Hill,Field of study inadequately described,6,115686.714,6145195.364
Swan Hill,Field of study not stated,12,115686.714,6145195.364
Swan Hill,"Food, Hospitality and Personal Services",73,115686.714,6145195.364
Swan Hill,Health,121,115686.714,6145195.364
Swan Hill,Management and Commerce,109,115686.714,6145195.364
Swan Hill,Natural and Physical Sciences,3,115686.714,6145195.364
Swan Hill,Not applicable,740,115686.714,6145195.364
Swan Hill,Society and Culture,134,115686.714,6145195.364
Towong,"Agriculture, Environmental and Related Studies",9,536363.913,5956103.129
Towong,Creative Arts,3,536363.913,5956103.129
Towong,Education,15,536363.913,5956103.129
Towong,Engineering and Related Technologies,12,536363.913,5956103.129
Towong,Health,41,536363.913,5956103.129
Towong,Management and Commerce,28,536363.913,5956103.129
Towong,Natural and Physical Sciences,3,536363.913,5956103.129
Towong,Not applicable,143,536363.913,5956103.129
Towong,Society and Culture,7,536363.913,5956103.129
Wangaratta,"Agriculture, Environmental and Related Studies",47,467975.704,5948158.92
Wangaratta,Architecture and Building,27,467975.704,5948158.92
Wangaratta,Creative Arts,43,467975.704,5948158.92
Wangaratta,Education,153,467975.704,5948158.92
Wangaratta,Engineering and Related Technologies,49,467975.704,5948158.92
Wangaratta,Field of study inadequately described,62,467975.704,5948158.92
Wangaratta,Field of study not stated,30,467975.704,5948158.92
Wangaratta,"Food, Hospitality and Personal Services",109,467975.704,5948158.92
Wangaratta,Health,327,467975.704,5948158.92
Wangaratta,Information Technology,20,467975.704,5948158.92
Wangaratta,Management and Commerce,228,467975.704,5948158.92
Wangaratta,Natural and Physical Sciences,60,467975.704,5948158.92
Wangaratta,Not applicable,837,467975.704,5948158.92
Wangaratta,Society and Culture,266,467975.704,5948158.92
Warrnambool,"Agriculture, Environmental and Related Studies",76,111189.579,5741093.781
Warrnambool,Architecture and Building,82,111189.579,5741093.781
Warrnambool,Creative Arts,84,111189.579,5741093.781
Warrnambool,Education,277,111189.579,5741093.781
Warrnambool,Engineering and Related Technologies,148,111189.579,5741093.781
Warrnambool,Field of study inadequately described,26,111189.579,5741093.781
Warrnambool,Field of study not stated,23,111189.579,5741093.781
Warrnambool,"Food, Hospitality and Personal Services",172,111189.579,5741093.781
Warrnambool,Health,374,111189.579,5741093.781
Warrnambool,Information Technology,33,111189.579,5741093.781
Warrnambool,Management and Commerce,363,111189.579,5741093.781
Warrnambool,Mixed Field Programmes,6,111189.579,5741093.781
Warrnambool,Natural and Physical Sciences,71,111189.579,5741093.781
Warrnambool,Not applicable,1493,111189.579,5741093.781
