AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count
20-24 years,Female,Golden Plains,Tertiary - University or other higher education,Health,15
20-24 years,Female,Golden Plains,Tertiary - University or other higher education,Education,3
20-24 years,Female,Golden Plains,Tertiary - University or other higher education,Management and Commerce,6
20-24 years,Female,Golden Plains,Tertiary - University or other higher education,Society and Culture,11
20-24 years,Female,Golden Plains,Tertiary - University or other higher education,Not applicable,100
20-24 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4
20-24 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",8
20-24 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Health,19
20-24 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Education,16
20-24 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,14
20-24 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,39
20-24 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,5
20-24 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",27
20-24 years,Female,Greater Bendigo,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,214
20-24 years,Female,Greater Bendigo,Tertiary - University or other higher education,Natural and Physical Sciences,18
20-24 years,Female,Greater Bendigo,Tertiary - University or other higher education,Engineering and Related Technologies,4
20-24 years,Female,Greater Bendigo,Tertiary - University or other higher education,Architecture and Building,3
20-24 years,Female,Greater Bendigo,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",3
20-24 years,Female,Greater Bendigo,Tertiary - University or other higher education,Health,105
20-24 years,Female,Greater Bendigo,Tertiary - University or other higher education,Education,30
20-24 years,Female,Greater Bendigo,Tertiary - University or other higher education,Management and Commerce,39
20-24 years,Female,Greater Bendigo,Tertiary - University or other higher education,Society and Culture,46
20-24 years,Female,Greater Bendigo,Tertiary - University or other higher education,Creative Arts,30
20-24 years,Female,Greater Bendigo,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",20
20-24 years,Female,Greater Bendigo,Tertiary - University or other higher education,Mixed Field Programmes,4
20-24 years,Female,Greater Bendigo,Tertiary - University or other higher education,Field of study inadequately described,3
20-24 years,Female,Greater Bendigo,Tertiary - University or other higher education,Field of study not stated,11
20-24 years,Female,Greater Bendigo,Tertiary - University or other higher education,Not applicable,663
20-24 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,8
20-24 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,17
20-24 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3
20-24 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Health,39
20-24 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Education,16
20-24 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,47
20-24 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,37
20-24 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,14
20-24 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",65
20-24 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,3
20-24 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,12
20-24 years,Female,Greater Dandenong,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,323
20-24 years,Female,Greater Dandenong,Tertiary - University or other higher education,Natural and Physical Sciences,119
20-24 years,Female,Greater Dandenong,Tertiary - University or other higher education,Information Technology,36
20-24 years,Female,Greater Dandenong,Tertiary - University or other higher education,Engineering and Related Technologies,20
20-24 years,Female,Greater Dandenong,Tertiary - University or other higher education,Architecture and Building,10
20-24 years,Female,Greater Dandenong,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",9
20-24 years,Female,Greater Dandenong,Tertiary - University or other higher education,Health,127
20-24 years,Female,Greater Dandenong,Tertiary - University or other higher education,Education,42
20-24 years,Female,Greater Dandenong,Tertiary - University or other higher education,Management and Commerce,112
20-24 years,Female,Greater Dandenong,Tertiary - University or other higher education,Society and Culture,90
20-24 years,Female,Greater Dandenong,Tertiary - University or other higher education,Creative Arts,30
20-24 years,Female,Greater Dandenong,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",28
20-24 years,Female,Greater Dandenong,Tertiary - University or other higher education,Field of study inadequately described,16
20-24 years,Female,Greater Dandenong,Tertiary - University or other higher education,Field of study not stated,27
20-24 years,Female,Greater Dandenong,Tertiary - University or other higher education,Not applicable,1282
20-24 years,Female,Greater Dandenong,Tertiary - not further defined,Not applicable,3
20-24 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,12
20-24 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3
20-24 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5
20-24 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,5
20-24 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",7
20-24 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Health,66
20-24 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Education,28
20-24 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,42
20-24 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,85
20-24 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,32
20-24 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",56
20-24 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,5
20-24 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,9
20-24 years,Female,Greater Geelong,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,332
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,Natural and Physical Sciences,160
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,Information Technology,8
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,Engineering and Related Technologies,44
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,Architecture and Building,33
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",27
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,Health,214
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,Education,84
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,Management and Commerce,109
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,Society and Culture,188
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,Creative Arts,68
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",56
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,Mixed Field Programmes,3
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,Field of study inadequately described,19
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,Field of study not stated,19
20-24 years,Female,Greater Geelong,Tertiary - University or other higher education,Not applicable,1932
20-24 years,Female,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Health,15
20-24 years,Female,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Education,7
20-24 years,Female,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,15
20-24 years,Female,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,21
20-24 years,Female,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3
20-24 years,Female,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",15
20-24 years,Female,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
20-24 years,Female,Greater Shepparton,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,121
20-24 years,Female,Greater Shepparton,Tertiary - University or other higher education,Natural and Physical Sciences,15
20-24 years,Female,Greater Shepparton,Tertiary - University or other higher education,Health,50
20-24 years,Female,Greater Shepparton,Tertiary - University or other higher education,Education,10
20-24 years,Female,Greater Shepparton,Tertiary - University or other higher education,Management and Commerce,21
20-24 years,Female,Greater Shepparton,Tertiary - University or other higher education,Society and Culture,31
20-24 years,Female,Greater Shepparton,Tertiary - University or other higher education,Creative Arts,8
20-24 years,Female,Greater Shepparton,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",5
20-24 years,Female,Greater Shepparton,Tertiary - University or other higher education,Field of study inadequately described,6
20-24 years,Female,Greater Shepparton,Tertiary - University or other higher education,Field of study not stated,7
20-24 years,Female,Greater Shepparton,Tertiary - University or other higher education,Not applicable,187
20-24 years,Female,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
20-24 years,Female,Hepburn,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,12
20-24 years,Female,Hepburn,Tertiary - University or other higher education,Health,7
20-24 years,Female,Hepburn,Tertiary - University or other higher education,Education,7
20-24 years,Female,Hepburn,Tertiary - University or other higher education,Society and Culture,3
20-24 years,Female,Hepburn,Tertiary - University or other higher education,Creative Arts,6
20-24 years,Female,Hepburn,Tertiary - University or other higher education,Not applicable,32
20-24 years,Female,Hindmarsh,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,4
20-24 years,Female,Hindmarsh,Tertiary - University or other higher education,Health,4
20-24 years,Female,Hindmarsh,Tertiary - University or other higher education,Not applicable,4
20-24 years,Female,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4
20-24 years,Female,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,3
20-24 years,Female,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Health,7
20-24 years,Female,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Education,7
20-24 years,Female,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,15
20-24 years,Female,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,18
20-24 years,Female,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,10
20-24 years,Female,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",14
20-24 years,Female,Hobsons Bay,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,86
20-24 years,Female,Hobsons Bay,Tertiary - University or other higher education,Natural and Physical Sciences,42
20-24 years,Female,Hobsons Bay,Tertiary - University or other higher education,Information Technology,3
20-24 years,Female,Hobsons Bay,Tertiary - University or other higher education,Engineering and Related Technologies,3
20-24 years,Female,Hobsons Bay,Tertiary - University or other higher education,Architecture and Building,7
20-24 years,Female,Hobsons Bay,Tertiary - University or other higher education,Health,43
20-24 years,Female,Hobsons Bay,Tertiary - University or other higher education,Education,23
20-24 years,Female,Hobsons Bay,Tertiary - University or other higher education,Management and Commerce,34
20-24 years,Female,Hobsons Bay,Tertiary - University or other higher education,Society and Culture,77
20-24 years,Female,Hobsons Bay,Tertiary - University or other higher education,Creative Arts,20
20-24 years,Female,Hobsons Bay,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",14
20-24 years,Female,Hobsons Bay,Tertiary - University or other higher education,Field of study inadequately described,12
20-24 years,Female,Hobsons Bay,Tertiary - University or other higher education,Field of study not stated,10
20-24 years,Female,Hobsons Bay,Tertiary - University or other higher education,Not applicable,560
20-24 years,Female,Hobsons Bay,Tertiary - not further defined,Not applicable,4
20-24 years,Female,Horsham,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",6
20-24 years,Female,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,3
20-24 years,Female,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,5
20-24 years,Female,Horsham,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",6
20-24 years,Female,Horsham,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,20
20-24 years,Female,Horsham,Tertiary - University or other higher education,Natural and Physical Sciences,3
20-24 years,Female,Horsham,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",4
20-24 years,Female,Horsham,Tertiary - University or other higher education,Health,15
20-24 years,Female,Horsham,Tertiary - University or other higher education,Education,4
20-24 years,Female,Horsham,Tertiary - University or other higher education,Management and Commerce,4
20-24 years,Female,Horsham,Tertiary - University or other higher education,Society and Culture,11
20-24 years,Female,Horsham,Tertiary - University or other higher education,Not applicable,47
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,11
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,9
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,7
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,8
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Health,46
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Education,29
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,44
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,56
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,21
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",52
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,5
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,5
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,12
20-24 years,Female,Hume,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,367
20-24 years,Female,Hume,Tertiary - University or other higher education,Natural and Physical Sciences,160
20-24 years,Female,Hume,Tertiary - University or other higher education,Information Technology,21
20-24 years,Female,Hume,Tertiary - University or other higher education,Engineering and Related Technologies,13
20-24 years,Female,Hume,Tertiary - University or other higher education,Architecture and Building,33
20-24 years,Female,Hume,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",7
20-24 years,Female,Hume,Tertiary - University or other higher education,Health,186
20-24 years,Female,Hume,Tertiary - University or other higher education,Education,103
20-24 years,Female,Hume,Tertiary - University or other higher education,Management and Commerce,107
20-24 years,Female,Hume,Tertiary - University or other higher education,Society and Culture,200
20-24 years,Female,Hume,Tertiary - University or other higher education,Creative Arts,46
20-24 years,Female,Hume,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",45
20-24 years,Female,Hume,Tertiary - University or other higher education,Mixed Field Programmes,4
20-24 years,Female,Hume,Tertiary - University or other higher education,Field of study inadequately described,23
20-24 years,Female,Hume,Tertiary - University or other higher education,Field of study not stated,36
20-24 years,Female,Hume,Tertiary - University or other higher education,Not applicable,1635
20-24 years,Female,Indigo,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3
20-24 years,Female,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Health,4
20-24 years,Female,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Education,3
20-24 years,Female,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
20-24 years,Female,Indigo,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,22
20-24 years,Female,Indigo,Tertiary - University or other higher education,Health,8
20-24 years,Female,Indigo,Tertiary - University or other higher education,Education,6
20-24 years,Female,Indigo,Tertiary - University or other higher education,Management and Commerce,3
20-24 years,Female,Indigo,Tertiary - University or other higher education,Society and Culture,3
20-24 years,Female,Indigo,Tertiary - University or other higher education,Creative Arts,4
20-24 years,Female,Indigo,Tertiary - University or other higher education,Not applicable,38
20-24 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,5
20-24 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Information Technology,5
20-24 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,8
20-24 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3
20-24 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Health,35
20-24 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Education,10
20-24 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,17
20-24 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,21
20-24 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,11
20-24 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",38
20-24 years,Female,Kingston (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Not applicable,157
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Natural and Physical Sciences,89
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Information Technology,8
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Engineering and Related Technologies,10
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Architecture and Building,10
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",7
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Health,94
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Education,46
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Management and Commerce,80
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Society and Culture,101
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Creative Arts,49
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,"Food, Hospitality and Personal Services",26
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Mixed Field Programmes,3
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Field of study inadequately described,15
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Field of study not stated,11
20-24 years,Female,Kingston (Vic.),Tertiary - University or other higher education,Not applicable,1144
20-24 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,6
20-24 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4
20-24 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Health,28
20-24 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Education,7
20-24 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,31
20-24 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,27
20-24 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,12
20-24 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",40
20-24 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,6
20-24 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
20-24 years,Female,Knox,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,191
20-24 years,Female,Knox,Tertiary - University or other higher education,Natural and Physical Sciences,88
20-24 years,Female,Knox,Tertiary - University or other higher education,Information Technology,11
20-24 years,Female,Knox,Tertiary - University or other higher education,Engineering and Related Technologies,8
20-24 years,Female,Knox,Tertiary - University or other higher education,Architecture and Building,10
20-24 years,Female,Knox,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",4
20-24 years,Female,Knox,Tertiary - University or other higher education,Health,123
20-24 years,Female,Knox,Tertiary - University or other higher education,Education,48
20-24 years,Female,Knox,Tertiary - University or other higher education,Management and Commerce,72
20-24 years,Female,Knox,Tertiary - University or other higher education,Society and Culture,110
20-24 years,Female,Knox,Tertiary - University or other higher education,Creative Arts,46
20-24 years,Female,Knox,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",27
20-24 years,Female,Knox,Tertiary - University or other higher education,Field of study inadequately described,16
20-24 years,Female,Knox,Tertiary - University or other higher education,Field of study not stated,7
20-24 years,Female,Knox,Tertiary - University or other higher education,Not applicable,1192
20-24 years,Female,Knox,Tertiary - not further defined,Not applicable,5
20-24 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,4
20-24 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",5
20-24 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Health,19
20-24 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Education,7
20-24 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,11
20-24 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,24
20-24 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,5
20-24 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",13
20-24 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
20-24 years,Female,Latrobe (Vic.),Tertiary - Vocational education (including TAFE and private training providers),Not applicable,99
20-24 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,Natural and Physical Sciences,23
20-24 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,Information Technology,3
20-24 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,Engineering and Related Technologies,3
20-24 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,Health,48
20-24 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,Education,13
20-24 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,Management and Commerce,20
20-24 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,Society and Culture,31
20-24 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,Creative Arts,11
20-24 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,"Food, Hospitality and Personal Services",7
20-24 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,Field of study inadequately described,7
20-24 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,Field of study not stated,5
20-24 years,Female,Latrobe (Vic.),Tertiary - University or other higher education,Not applicable,229
20-24 years,Female,Loddon,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,4
20-24 years,Female,Loddon,Tertiary - University or other higher education,Society and Culture,5
20-24 years,Female,Loddon,Tertiary - University or other higher education,Not applicable,17
20-24 years,Female,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",3
20-24 years,Female,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Education,4
20-24 years,Female,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,9
20-24 years,Female,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,3
20-24 years,Female,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",5
20-24 years,Female,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3
20-24 years,Female,Macedon Ranges,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,39
20-24 years,Female,Macedon Ranges,Tertiary - University or other higher education,Natural and Physical Sciences,10
20-24 years,Female,Macedon Ranges,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",6
20-24 years,Female,Macedon Ranges,Tertiary - University or other higher education,Health,17
20-24 years,Female,Macedon Ranges,Tertiary - University or other higher education,Education,6
20-24 years,Female,Macedon Ranges,Tertiary - University or other higher education,Management and Commerce,10
20-24 years,Female,Macedon Ranges,Tertiary - University or other higher education,Society and Culture,18
20-24 years,Female,Macedon Ranges,Tertiary - University or other higher education,Creative Arts,15
20-24 years,Female,Macedon Ranges,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",11
20-24 years,Female,Macedon Ranges,Tertiary - University or other higher education,Field of study inadequately described,3
20-24 years,Female,Macedon Ranges,Tertiary - University or other higher education,Field of study not stated,3
20-24 years,Female,Macedon Ranges,Tertiary - University or other higher education,Not applicable,238
20-24 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4
20-24 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,5
20-24 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Health,7
20-24 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Education,3
20-24 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,21
20-24 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,14
20-24 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,5
20-24 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",11
20-24 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,3
20-24 years,Female,Manningham,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,100
20-24 years,Female,Manningham,Tertiary - University or other higher education,Natural and Physical Sciences,129
20-24 years,Female,Manningham,Tertiary - University or other higher education,Information Technology,5
20-24 years,Female,Manningham,Tertiary - University or other higher education,Engineering and Related Technologies,14
20-24 years,Female,Manningham,Tertiary - University or other higher education,Architecture and Building,13
20-24 years,Female,Manningham,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",10
20-24 years,Female,Manningham,Tertiary - University or other higher education,Health,86
20-24 years,Female,Manningham,Tertiary - University or other higher education,Education,29
20-24 years,Female,Manningham,Tertiary - University or other higher education,Management and Commerce,95
20-24 years,Female,Manningham,Tertiary - University or other higher education,Society and Culture,97
20-24 years,Female,Manningham,Tertiary - University or other higher education,Creative Arts,47
20-24 years,Female,Manningham,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",19
20-24 years,Female,Manningham,Tertiary - University or other higher education,Mixed Field Programmes,4
20-24 years,Female,Manningham,Tertiary - University or other higher education,Field of study inadequately described,23
20-24 years,Female,Manningham,Tertiary - University or other higher education,Field of study not stated,10
20-24 years,Female,Manningham,Tertiary - University or other higher education,Not applicable,1209
20-24 years,Female,Mansfield,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4
20-24 years,Female,Mansfield,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4
20-24 years,Female,Mansfield,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,9
20-24 years,Female,Mansfield,Tertiary - University or other higher education,Health,3
20-24 years,Female,Mansfield,Tertiary - University or other higher education,Society and Culture,7
20-24 years,Female,Mansfield,Tertiary - University or other higher education,Not applicable,20
20-24 years,Female,Maribyrnong,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,3
