AGE5P Age in Five Year Groups,SEXP Sex,LGA (UR),TYPP Type of Educational Institution Attending,2-digit level QALFP Non-School Qualification: Field of Study,Count,X,Y
20-24 years,Female,Moira,Tertiary - University or other higher education,Education,3,410454.699,6029424.328
20-24 years,Female,Moira,Tertiary - University or other higher education,Management and Commerce,6,322220.692,5992767.423
20-24 years,Female,Moira,Tertiary - University or other higher education,Society and Culture,3,378192.731,5996606.58
20-24 years,Female,Moira,Tertiary - University or other higher education,Mixed Field Programmes,4,351355.17,6018463.732
20-24 years,Female,Moira,Tertiary - University or other higher education,Not applicable,46,354123.763,6007900.398
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4,338842.156,5804029.028
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,9,339681.204,5804649.286
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,7,336614.928,5805969.694
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,5,340301.12,5803447.389
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4,335670.056,5801956.744
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Health,35,339752.76,5807019.442
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Education,15,333990.296,5801180.769
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,37,332735.969,5801877.411
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,21,340331.072,5799809.567
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,9,332778.127,5801180.769
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",44,335130.029,5802284.924
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,3,332778.127,5804799.233
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,4,339955.615,5803466.886
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,6,339865.652,5799432.538
20-24 years,Female,Monash,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,198,338886.489,5802284.924
20-24 years,Female,Monash,Tertiary - University or other higher education,Natural and Physical Sciences,281,334633.129,5808298.475
20-24 years,Female,Monash,Tertiary - University or other higher education,Information Technology,86,335115.522,5804710.071
20-24 years,Female,Monash,Tertiary - University or other higher education,Engineering and Related Technologies,78,341336.157,5805014.181
20-24 years,Female,Monash,Tertiary - University or other higher education,Architecture and Building,25,340392.76,5803156.512
20-24 years,Female,Monash,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",7,338693.101,5802675.076
20-24 years,Female,Monash,Tertiary - University or other higher education,Health,184,340301.12,5801877.411
20-24 years,Female,Monash,Tertiary - University or other higher education,Education,77,339752.76,5805738.389
20-24 years,Female,Monash,Tertiary - University or other higher education,Management and Commerce,288,337794.149,5803127.914
20-24 years,Female,Monash,Tertiary - University or other higher education,Society and Culture,224,332609.545,5802431.775
20-24 years,Female,Monash,Tertiary - University or other higher education,Creative Arts,122,340331.072,5806559.811
20-24 years,Female,Monash,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",45,338618.444,5805968.303
20-24 years,Female,Monash,Tertiary - University or other higher education,Mixed Field Programmes,11,339955.615,5800537.161
20-24 years,Female,Monash,Tertiary - University or other higher education,Field of study inadequately described,49,332385.405,5804334.491
20-24 years,Female,Monash,Tertiary - University or other higher education,Field of study not stated,37,334633.129,5802284.924
20-24 years,Female,Monash,Tertiary - University or other higher education,Not applicable,2695,338042.359,5805014.181
20-24 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,6,316325.274,5820411.614
20-24 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,4,312636.294,5817394.221
20-24 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,4,317380.552,5820530.47
20-24 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Health,26,314519.322,5821523.67
20-24 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Education,4,315306.546,5817941.064
20-24 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,19,317863.516,5818749.453
20-24 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,22,313465.753,5815976.612
20-24 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,10,313575.944,5822003.876
20-24 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",17,315178.083,5818534.75
20-24 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,4,311288.34,5819067.91
20-24 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,4,313590.517,5816842.164
20-24 years,Female,Moonee Valley,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,108,318212.608,5819428.905
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,Natural and Physical Sciences,99,316354.218,5819068.68
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,Information Technology,15,316575.545,5820748.251
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,Engineering and Related Technologies,8,317711.012,5816283.648
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,Architecture and Building,14,312535.268,5819594.104
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",7,314661.553,5818248.428
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,Health,95,313465.753,5819594.104
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,Education,36,315306.546,5817941.064
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,Management and Commerce,61,311905.058,5823198.0
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,Society and Culture,133,312781.86,5821745.74
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,Creative Arts,69,313590.517,5819067.91
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",26,316511.137,5819607.235
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,Mixed Field Programmes,5,314195.654,5819135.542
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,Field of study inadequately described,29,313995.439,5822440.218
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,Field of study not stated,12,317626.254,5819696.498
20-24 years,Female,Moonee Valley,Tertiary - University or other higher education,Not applicable,1068,312362.777,5818534.75
20-24 years,Female,Moorabool,Tertiary - Vocational education (including TAFE and private training providers),Health,5,236477.178,5853968.301
20-24 years,Female,Moorabool,Tertiary - Vocational education (including TAFE and private training providers),Education,4,250128.602,5833006.667
20-24 years,Female,Moorabool,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,10,239022.947,5822777.002
20-24 years,Female,Moorabool,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,5,242431.048,5844167.094
20-24 years,Female,Moorabool,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",7,235115.764,5824077.157
20-24 years,Female,Moorabool,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,6,250599.433,5850011.145
20-24 years,Female,Moorabool,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,33,233354.452,5832036.176
20-24 years,Female,Moorabool,Tertiary - University or other higher education,Natural and Physical Sciences,4,257544.804,5813739.064
20-24 years,Female,Moorabool,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",3,237504.786,5822777.002
20-24 years,Female,Moorabool,Tertiary - University or other higher education,Health,17,265698.013,5827459.426
20-24 years,Female,Moorabool,Tertiary - University or other higher education,Education,12,269787.379,5820067.842
20-24 years,Female,Moorabool,Tertiary - University or other higher education,Management and Commerce,14,242431.048,5829096.851
20-24 years,Female,Moorabool,Tertiary - University or other higher education,Society and Culture,25,274182.118,5820067.842
20-24 years,Female,Moorabool,Tertiary - University or other higher education,Creative Arts,10,259736.316,5830431.45
20-24 years,Female,Moorabool,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",9,264083.332,5832538.649
20-24 years,Female,Moorabool,Tertiary - University or other higher education,Not applicable,174,269009.738,5840888.098
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,11,321495.982,5817771.793
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3,321975.678,5824891.547
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,7,319020.893,5821042.011
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,3,316269.184,5825866.107
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",7,321807.061,5818926.402
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Health,55,318278.268,5817163.428
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Education,13,316269.184,5822187.97
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,42,320337.534,5824891.547
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,53,321075.221,5818225.948
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,35,319760.674,5818256.65
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",38,316378.225,5818558.95
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Mixed Field Programmes,9,315934.577,5817351.766
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Field of study inadequately described,4,319975.454,5821785.811
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,5,319260.237,5824422.408
20-24 years,Female,Moreland,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,204,321807.061,5819898.94
20-24 years,Female,Moreland,Tertiary - University or other higher education,Natural and Physical Sciences,186,320652.066,5822737.722
20-24 years,Female,Moreland,Tertiary - University or other higher education,Information Technology,20,316319.31,5820246.445
20-24 years,Female,Moreland,Tertiary - University or other higher education,Engineering and Related Technologies,18,320661.107,5822632.644
20-24 years,Female,Moreland,Tertiary - University or other higher education,Architecture and Building,34,317567.117,5825445.714
20-24 years,Female,Moreland,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",12,321952.085,5823990.375
20-24 years,Female,Moreland,Tertiary - University or other higher education,Health,190,322259.915,5822737.722
20-24 years,Female,Moreland,Tertiary - University or other higher education,Education,46,317303.249,5824425.08
20-24 years,Female,Moreland,Tertiary - University or other higher education,Management and Commerce,94,319311.397,5820246.445
20-24 years,Female,Moreland,Tertiary - University or other higher education,Society and Culture,257,319018.817,5822248.329
20-24 years,Female,Moreland,Tertiary - University or other higher education,Creative Arts,140,320773.954,5825757.216
20-24 years,Female,Moreland,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",38,320520.929,5823943.302
20-24 years,Female,Moreland,Tertiary - University or other higher education,Mixed Field Programmes,5,321675.669,5823610.939
20-24 years,Female,Moreland,Tertiary - University or other higher education,Field of study inadequately described,62,319267.919,5825445.714
20-24 years,Female,Moreland,Tertiary - University or other higher education,Field of study not stated,18,320467.46,5825469.222
20-24 years,Female,Moreland,Tertiary - University or other higher education,Not applicable,1605,320276.206,5823506.072
20-24 years,Female,Moreland,Tertiary - not further defined,Field of study not stated,3,315612.294,5818100.078
20-24 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,4,329858.218,5739996.594
20-24 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Architecture and Building,4,299411.796,5758646.395
20-24 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4,315033.456,5759673.008
20-24 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Health,15,326827.847,5747569.201
20-24 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Education,18,312900.81,5748640.651
20-24 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,11,320455.011,5753319.017
20-24 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,25,305108.366,5752086.799
20-24 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,13,312900.81,5766525.093
20-24 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",16,329973.938,5766130.522
20-24 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3,318517.355,5753583.112
20-24 years,Female,Mornington Peninsula,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,193,311275.201,5745261.822
20-24 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Natural and Physical Sciences,19,322557.137,5745875.257
20-24 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Architecture and Building,3,342985.697,5769765.619
20-24 years,Female,Mornington Peninsula,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",9,328363.323,5751392.503
20-24 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Health,68,324940.266,5763152.634
20-24 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Education,34,330555.845,5756322.327
20-24 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Management and Commerce,29,338802.074,5753717.542
20-24 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Society and Culture,50,323372.223,5747569.201
20-24 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Creative Arts,31,327324.606,5741895.58
20-24 years,Female,Mornington Peninsula,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",12,299411.796,5758169.051
20-24 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Field of study inadequately described,8,319338.432,5753413.019
20-24 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Field of study not stated,8,337977.258,5743621.964
20-24 years,Female,Mornington Peninsula,Tertiary - University or other higher education,Not applicable,808,312445.835,5761153.152
20-24 years,Female,Mount Alexander,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4,236636.996,5901051.583
20-24 years,Female,Mount Alexander,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4,269992.564,5906668.397
20-24 years,Female,Mount Alexander,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,20,253419.867,5889892.566
20-24 years,Female,Mount Alexander,Tertiary - University or other higher education,Health,4,236535.769,5890590.555
20-24 years,Female,Mount Alexander,Tertiary - University or other higher education,Society and Culture,4,247387.126,5912413.754
20-24 years,Female,Mount Alexander,Tertiary - University or other higher education,Creative Arts,7,269712.072,5888163.714
20-24 years,Female,Mount Alexander,Tertiary - University or other higher education,Not applicable,40,248065.914,5903525.777
20-24 years,Female,Moyne,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4,79320.111,5743805.142
20-24 years,Female,Moyne,Tertiary - Vocational education (including TAFE and private training providers),Health,4,123256.531,5775448.114
20-24 years,Female,Moyne,Tertiary - Vocational education (including TAFE and private training providers),Education,5,70184.638,5789235.179
20-24 years,Female,Moyne,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4,132549.0,5785844.739
20-24 years,Female,Moyne,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,21,124677.681,5783412.999
20-24 years,Female,Moyne,Tertiary - University or other higher education,Health,6,137059.412,5790579.438
20-24 years,Female,Moyne,Tertiary - University or other higher education,Education,3,134188.568,5778531.783
20-24 years,Female,Moyne,Tertiary - University or other higher education,Not applicable,52,101344.497,5745669.315
20-24 years,Female,Murrindindi,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,5,392772.431,5858919.871
20-24 years,Female,Murrindindi,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,5,378653.437,5870252.842
20-24 years,Female,Murrindindi,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",7,353585.699,5860863.255
20-24 years,Female,Murrindindi,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,21,342892.709,5883296.994
20-24 years,Female,Murrindindi,Tertiary - University or other higher education,Health,5,360877.792,5877797.037
20-24 years,Female,Murrindindi,Tertiary - University or other higher education,Education,9,376500.277,5858666.794
20-24 years,Female,Murrindindi,Tertiary - University or other higher education,Society and Culture,7,410879.335,5854652.672
20-24 years,Female,Murrindindi,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",6,386811.405,5849191.72
20-24 years,Female,Murrindindi,Tertiary - University or other higher education,Not applicable,35,384436.064,5869011.953
20-24 years,Female,Nillumbik,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,3,354609.808,5833281.77
20-24 years,Female,Nillumbik,Tertiary - Vocational education (including TAFE and private training providers),Health,6,344618.111,5835653.964
20-24 years,Female,Nillumbik,Tertiary - Vocational education (including TAFE and private training providers),Education,5,346854.646,5833325.119
20-24 years,Female,Nillumbik,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,8,348992.076,5830450.379
20-24 years,Female,Nillumbik,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,7,345634.773,5847265.948
20-24 years,Female,Nillumbik,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,12,346854.646,5832683.345
20-24 years,Female,Nillumbik,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",6,334942.702,5842261.845
20-24 years,Female,Nillumbik,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,83,333340.324,5836653.635
20-24 years,Female,Nillumbik,Tertiary - University or other higher education,Natural and Physical Sciences,28,346854.646,5843612.296
20-24 years,Female,Nillumbik,Tertiary - University or other higher education,Engineering and Related Technologies,3,345094.246,5840817.691
20-24 years,Female,Nillumbik,Tertiary - University or other higher education,Architecture and Building,4,350200.823,5844261.443
20-24 years,Female,Nillumbik,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",3,351472.517,5839451.315
20-24 years,Female,Nillumbik,Tertiary - University or other higher education,Health,46,350242.494,5824741.601
20-24 years,Female,Nillumbik,Tertiary - University or other higher education,Education,15,349770.022,5840114.761
20-24 years,Female,Nillumbik,Tertiary - University or other higher education,Management and Commerce,20,344536.949,5831041.981
20-24 years,Female,Nillumbik,Tertiary - University or other higher education,Society and Culture,55,349627.475,5829480.345
20-24 years,Female,Nillumbik,Tertiary - University or other higher education,Creative Arts,33,338013.724,5833281.77
20-24 years,Female,Nillumbik,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",14,347898.263,5836855.84
20-24 years,Female,Nillumbik,Tertiary - University or other higher education,Field of study inadequately described,6,347898.263,5826700.191
20-24 years,Female,Nillumbik,Tertiary - University or other higher education,Field of study not stated,3,340547.88,5841740.015
20-24 years,Female,Nillumbik,Tertiary - University or other higher education,Not applicable,552,353584.05,5847265.948
20-24 years,Female,Northern Grampians,Tertiary - Vocational education (including TAFE and private training providers),Health,3,155498.035,5923877.251
20-24 years,Female,Northern Grampians,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,3,88178.317,5890255.44
20-24 years,Female,Northern Grampians,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,13,104073.869,5892107.512
20-24 years,Female,Northern Grampians,Tertiary - University or other higher education,Society and Culture,3,146397.025,5901377.179
20-24 years,Female,Northern Grampians,Tertiary - University or other higher education,Not applicable,18,90976.37,5930225.168
20-24 years,Female,Port Phillip,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,4,316878.465,5810099.629
20-24 years,Female,Port Phillip,Tertiary - Vocational education (including TAFE and private training providers),Health,9,318368.191,5810096.684
20-24 years,Female,Port Phillip,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,26,322442.379,5810096.684
20-24 years,Female,Port Phillip,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,14,321279.015,5809179.589
20-24 years,Female,Port Phillip,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,23,320908.789,5809789.493
20-24 years,Female,Port Phillip,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",12,321783.027,5810868.748
20-24 years,Female,Port Phillip,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,90,321936.787,5809789.493
20-24 years,Female,Port Phillip,Tertiary - University or other higher education,Natural and Physical Sciences,66,320659.199,5805636.753
20-24 years,Female,Port Phillip,Tertiary - University or other higher education,Information Technology,3,317224.768,5810259.863
20-24 years,Female,Port Phillip,Tertiary - University or other higher education,Engineering and Related Technologies,12,321473.918,5810792.47
20-24 years,Female,Port Phillip,Tertiary - University or other higher education,Architecture and Building,10,318558.105,5807910.336
20-24 years,Female,Port Phillip,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",10,320659.916,5808622.294
20-24 years,Female,Port Phillip,Tertiary - University or other higher education,Health,67,321607.362,5810013.047
20-24 years,Female,Port Phillip,Tertiary - University or other higher education,Education,24,322877.51,5807189.437
20-24 years,Female,Port Phillip,Tertiary - University or other higher education,Management and Commerce,86,321721.307,5807679.628
20-24 years,Female,Port Phillip,Tertiary - University or other higher education,Society and Culture,110,319322.562,5805504.586
20-24 years,Female,Port Phillip,Tertiary - University or other higher education,Creative Arts,86,322877.51,5809731.566
20-24 years,Female,Port Phillip,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",23,318558.105,5807679.628
20-24 years,Female,Port Phillip,Tertiary - University or other higher education,Field of study inadequately described,26,320809.758,5809789.493
20-24 years,Female,Port Phillip,Tertiary - University or other higher education,Field of study not stated,9,322631.864,5809987.688
20-24 years,Female,Port Phillip,Tertiary - University or other higher education,Not applicable,689,321055.904,5810265.194
20-24 years,Female,Port Phillip,Tertiary - not further defined,Not applicable,4,320908.789,5806277.572
20-24 years,Female,Pyrenees,Tertiary - Vocational education (including TAFE and private training providers),Health,7,168831.279,5835051.93
20-24 years,Female,Pyrenees,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,9,198109.946,5825386.959
20-24 years,Female,Pyrenees,Tertiary - University or other higher education,Natural and Physical Sciences,3,192232.024,5854363.617
20-24 years,Female,Pyrenees,Tertiary - University or other higher education,Health,3,157148.936,5891748.864
20-24 years,Female,Pyrenees,Tertiary - University or other higher education,Society and Culture,3,192614.121,5845908.711
20-24 years,Female,Pyrenees,Tertiary - University or other higher education,Field of study not stated,3,167967.508,5820357.101
20-24 years,Female,Pyrenees,Tertiary - University or other higher education,Not applicable,17,180940.283,5867042.816
20-24 years,Female,Queenscliffe,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,3,294099.753,5759176.736
20-24 years,Female,Queenscliffe,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,4,291199.268,5764969.746
20-24 years,Female,Queenscliffe,Tertiary - University or other higher education,Not applicable,6,294291.105,5760000.577
20-24 years,Female,South Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Health,5,424559.346,5726816.332
20-24 years,Female,South Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Education,8,429717.775,5739990.666
20-24 years,Female,South Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,4,430960.617,5726816.332
20-24 years,Female,South Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,5,439659.767,5749953.409
20-24 years,Female,South Gippsland,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,30,447231.884,5749241.613
20-24 years,Female,South Gippsland,Tertiary - University or other higher education,Health,3,429378.575,5687623.766
20-24 years,Female,South Gippsland,Tertiary - University or other higher education,Education,9,404185.454,5743674.103
20-24 years,Female,South Gippsland,Tertiary - University or other higher education,Management and Commerce,4,432173.474,5678587.573
20-24 years,Female,South Gippsland,Tertiary - University or other higher education,Society and Culture,3,449986.208,5714638.206
20-24 years,Female,South Gippsland,Tertiary - University or other higher education,Creative Arts,3,393818.942,5715641.13
20-24 years,Female,South Gippsland,Tertiary - University or other higher education,Not applicable,72,403748.838,5714270.17
20-24 years,Female,Southern Grampians,Tertiary - Vocational education (including TAFE and private training providers),"Agriculture, Environmental and Related Studies",4,84648.252,5830438.932
20-24 years,Female,Southern Grampians,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",4,25519.671,5834529.46
20-24 years,Female,Southern Grampians,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,18,90686.333,5855287.57
20-24 years,Female,Southern Grampians,Tertiary - University or other higher education,Health,5,24861.96,5866159.183
20-24 years,Female,Southern Grampians,Tertiary - University or other higher education,Management and Commerce,6,40390.706,5825216.996
20-24 years,Female,Southern Grampians,Tertiary - University or other higher education,Society and Culture,4,51055.921,5790400.546
20-24 years,Female,Southern Grampians,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",5,55624.881,5857926.283
20-24 years,Female,Southern Grampians,Tertiary - University or other higher education,Field of study inadequately described,3,83258.173,5841897.429
20-24 years,Female,Southern Grampians,Tertiary - University or other higher education,Not applicable,18,98078.708,5860451.638
20-24 years,Female,Stonnington,Tertiary - Vocational education (including TAFE and private training providers),Natural and Physical Sciences,4,327766.786,5810278.384
20-24 years,Female,Stonnington,Tertiary - Vocational education (including TAFE and private training providers),Information Technology,3,327435.171,5807793.789
20-24 years,Female,Stonnington,Tertiary - Vocational education (including TAFE and private training providers),Engineering and Related Technologies,4,327530.882,5810671.051
20-24 years,Female,Stonnington,Tertiary - Vocational education (including TAFE and private training providers),Health,11,324846.236,5807745.749
20-24 years,Female,Stonnington,Tertiary - Vocational education (including TAFE and private training providers),Education,6,325897.507,5809411.728
20-24 years,Female,Stonnington,Tertiary - Vocational education (including TAFE and private training providers),Management and Commerce,27,323811.851,5807146.765
20-24 years,Female,Stonnington,Tertiary - Vocational education (including TAFE and private training providers),Society and Culture,23,326160.903,5809526.163
20-24 years,Female,Stonnington,Tertiary - Vocational education (including TAFE and private training providers),Creative Arts,15,327670.716,5808987.467
20-24 years,Female,Stonnington,Tertiary - Vocational education (including TAFE and private training providers),"Food, Hospitality and Personal Services",16,328086.003,5808360.617
20-24 years,Female,Stonnington,Tertiary - Vocational education (including TAFE and private training providers),Field of study not stated,3,323733.338,5807096.841
20-24 years,Female,Stonnington,Tertiary - Vocational education (including TAFE and private training providers),Not applicable,98,325650.59,5807857.611
20-24 years,Female,Stonnington,Tertiary - University or other higher education,Natural and Physical Sciences,145,327670.716,5807429.836
20-24 years,Female,Stonnington,Tertiary - University or other higher education,Information Technology,16,327530.882,5809379.603
20-24 years,Female,Stonnington,Tertiary - University or other higher education,Engineering and Related Technologies,18,325346.05,5808416.644
20-24 years,Female,Stonnington,Tertiary - University or other higher education,Architecture and Building,20,322854.216,5807377.149
20-24 years,Female,Stonnington,Tertiary - University or other higher education,"Agriculture, Environmental and Related Studies",9,326160.903,5805438.4
20-24 years,Female,Stonnington,Tertiary - University or other higher education,Health,89,329035.824,5810044.884
20-24 years,Female,Stonnington,Tertiary - University or other higher education,Education,26,325793.678,5808642.834
20-24 years,Female,Stonnington,Tertiary - University or other higher education,Management and Commerce,164,323463.937,5808360.617
20-24 years,Female,Stonnington,Tertiary - University or other higher education,Society and Culture,158,323898.464,5810678.487
20-24 years,Female,Stonnington,Tertiary - University or other higher education,Creative Arts,95,323442.562,5809529.672
20-24 years,Female,Stonnington,Tertiary - University or other higher education,"Food, Hospitality and Personal Services",27,324562.383,5808258.121
